ShortLabel,ROcc_Hus,Geo
8744c0249ffffff,0,Hex
8744c024affffff,0,Hex
8744c024bffffff,0,Hex
8744c024cffffff,2,Hex
8744c024dffffff,21,Hex
8744c024effffff,1,Hex
8744c0251ffffff,0,Hex
8744c0252ffffff,0,Hex
8744c0253ffffff,3,Hex
8744c0255ffffff,1,Hex
8744c0256ffffff,0,Hex
8744c0258ffffff,2,Hex
8744c0259ffffff,0,Hex
8744c025affffff,0,Hex
8744c025bffffff,1,Hex
8744c025cffffff,1,Hex
8744c025dffffff,0,Hex
8744c025effffff,1,Hex
8744c0260ffffff,6,Hex
8744c0261ffffff,0,Hex
8744c0262ffffff,1,Hex
8744c0263ffffff,0,Hex
8744c0264ffffff,5,Hex
8744c0265ffffff,3,Hex
8744c0266ffffff,6,Hex
8744c0268ffffff,1,Hex
8744c0269ffffff,0,Hex
8744c026affffff,7,Hex
8744c026bffffff,9,Hex
8744c026cffffff,1,Hex
8744c026dffffff,0,Hex
8744c026effffff,3,Hex
8744c0270ffffff,2,Hex
8744c135bffffff,40,Hex
8744c0271ffffff,1,Hex
8744c135cffffff,56,Hex
8744c0272ffffff,23,Hex
8744c135dffffff,153,Hex
8744c0273ffffff,2,Hex
8744c135effffff,24,Hex
8744c0274ffffff,0,Hex
8744c1360ffffff,684,Hex
8744c0275ffffff,0,Hex
8744c1361ffffff,1902,Hex
8744c0276ffffff,1,Hex
8744c1362ffffff,90,Hex
8744c0280ffffff,30,Hex
8744c1363ffffff,1523,Hex
8744c0281ffffff,2,Hex
8744c1364ffffff,2801,Hex
8744c0282ffffff,11,Hex
8744c1365ffffff,1164,Hex
8744c1670ffffff,353,Hex
8744c1366ffffff,2975,Hex
8744c1368ffffff,315,Hex
8744c1369ffffff,242,Hex
8744c136affffff,153,Hex
8744c136bffffff,209,Hex
8744c136cffffff,345,Hex
8744c136dffffff,1473,Hex
8744c136effffff,239,Hex
8744c1370ffffff,48,Hex
8744c1371ffffff,81,Hex
8744c1372ffffff,100,Hex
8744c1373ffffff,131,Hex
8744c1374ffffff,431,Hex
8744c1375ffffff,43,Hex
8744c1376ffffff,134,Hex
8744c1380ffffff,1526,Hex
8744c1381ffffff,1169,Hex
8744c1382ffffff,1925,Hex
8744c1383ffffff,948,Hex
8744c1384ffffff,1399,Hex
8744c1385ffffff,2144,Hex
8744c1386ffffff,859,Hex
8744c1388ffffff,309,Hex
8744c1389ffffff,179,Hex
8744c138affffff,418,Hex
8744c138bffffff,281,Hex
8744c138cffffff,648,Hex
8744c138dffffff,820,Hex
8744c138effffff,607,Hex
8744c1390ffffff,792,Hex
8744c1391ffffff,702,Hex
8744c1392ffffff,431,Hex
8744c1393ffffff,1015,Hex
