ShortLabel,ROcc_Hus,Geo
13121010215,222,Tract
13121010216,482,Tract
13121010217,333,Tract
13121010218,385,Tract
13121010219,1131,Tract
13121010220,754,Tract
13121010221,297,Tract
13121010222,18,Tract
13121010223,79,Tract
13121010305,277,Tract
13121010306,142,Tract
13121010307,91,Tract
13121010308,155,Tract
13121010309,739,Tract
13121010310,147,Tract
13121010311,168,Tract
13121010312,238,Tract
13121010313,757,Tract
13121010314,177,Tract
13121010315,727,Tract
13121010401,947,Tract
13121010402,236,Tract
13121010508,271,Tract
13121010517,889,Tract
13121010518,487,Tract
13121010519,589,Tract
13121010520,838,Tract
13121010521,277,Tract
13121010522,1226,Tract
13121010523,256,Tract
13121010524,1020,Tract
13121010525,1096,Tract
13121010526,604,Tract
13121010527,1392,Tract
13121010528,1267,Tract
13121010529,381,Tract
13121010530,592,Tract
13121010531,178,Tract
13121010532,586,Tract
13121010533,381,Tract
13121010534,954,Tract
13121010535,149,Tract
13121010536,135,Tract
13121010537,382,Tract
13121010538,397,Tract
13121010539,361,Tract
13121010540,1149,Tract
13121010601,1011,Tract
13121010603,1029,Tract
13121010604,937,Tract
13121010801,654,Tract
13121010802,781,Tract
13121011000,508,Tract
13121011100,454,Tract
13121011202,1128,Tract
13121011203,500,Tract
13121011204,541,Tract
13121011301,523,Tract
13121011306,1001,Tract
13121011307,1949,Tract
13121011308,616,Tract
13121011309,954,Tract
13121011310,1375,Tract
13121011416,152,Tract
13121011417,357,Tract
13121011419,504,Tract
13121011421,1244,Tract
13121011422,419,Tract
13121011423,385,Tract
13121011424,245,Tract
13121011426,119,Tract
13121011428,25,Tract
13121011429,469,Tract
13121011430,1455,Tract
13121011431,241,Tract
13121011432,1162,Tract
13121011433,53,Tract
13121011434,369,Tract
13121011435,531,Tract
13121011436,19,Tract
13121011437,742,Tract
13121011438,1271,Tract
13121011439,248,Tract
13121011440,168,Tract
13121011441,395,Tract
13121011442,423,Tract
13121011443,253,Tract
